epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,555.451,1.04718,0.57926,0.96279,0.70104,0.69368,0.73493,0.47573,1.23565,0.69223,1.04253,0.000256136,0.000256136,0.000256136
2,1049.36,1.07469,0.59973,0.97369,0.68219,0.69187,0.71479,0.46207,1.23888,0.69344,1.04274,0.000461735,0.000461735,0.000461735
3,1533.02,1.09075,0.61223,0.9797,0.70882,0.7022,0.73393,0.4716,1.244,0.70371,1.0437,0.00061658,0.00061658,0.00061658
4,2023.13,1.09225,0.61248,0.98022,0.71389,0.65479,0.71577,0.46056,1.23582,0.69496,1.04433,0.000540607,0.000540607,0.000540607
5,2509.95,1.0796,0.60129,0.97689,0.68221,0.66704,0.71352,0.46158,1.2346,0.68767,1.04068,0.000464476,0.000464476,0.000464476
6,2993.6,1.06708,0.5932,0.97058,0.67703,0.71174,0.7195,0.46339,1.24025,0.69168,1.04276,0.000388345,0.000388345,0.000388345
7,3471.33,1.05246,0.58167,0.96544,0.666,0.69433,0.72181,0.46743,1.23617,0.68808,1.0418,0.000312214,0.000312214,0.000312214
8,3948.93,1.03917,0.57149,0.9616,0.69536,0.7005,0.73131,0.47225,1.23677,0.68276,1.04292,0.000236083,0.000236083,0.000236083
9,4439.9,1.0249,0.56195,0.95588,0.68878,0.69478,0.72429,0.4708,1.2348,0.68148,1.03992,0.000159952,0.000159952,0.000159952
10,4922.78,1.01339,0.55362,0.95172,0.71799,0.68239,0.73386,0.47813,1.23184,0.67932,1.04144,8.3821e-05,8.3821e-05,8.3821e-05
